id,daneshkade_Fanavari_haye_novin
name_persian,دانشکده فناوریهای نوین
website,http://web.shirazu.ac.ir/index.php?page_id=164&menu_id=1&menu_item_id=46
head,دکتر حبیب دانش منش
education_expert,دکتر صمد صباغی
research_expert,دکتر حبیب دانش منش
latitude,29.6448948
longtitude,52.5163662
address,شیراز خیابان ملاصدرا دانشکده مهندسی 2        
