id,1084
parent,daneshkade_keshavarzi
name_persian,بخش علوم خاک
website,http://web.shirazu.ac.ir/index.php?page_id=2378
head,مجید باقرنژاد
head_phone_number,32286220
latitude,29.6448948
longtitude,52.5163662
address,شيراز – کيلومتر 12 جاده شيراز-اصفهان – منطقه باجگاه – دانشکده کشاورزي-بخش علوم خاک
